Model,Ticker,RMSE,MAPE,R2,DA,Coverage_90pct,Avg_Width_USD
StackedGRU,NVDA,25.998726765967707,31.746461248624986,0.5549731385641079,50.56433408577878,,
VanillaRNN,NVDA,26.60274725705649,17.549135369643384,0.5340545849650993,52.59593679458239,,
"ARIMA(5,1,0)",AMD,29.55320579747925,16.845958044141057,-0.056097867691649,47.40406320541761,,
StackedGRU,AMZN,30.88657828634258,18.419031305402093,0.0685416562797757,47.17832957110609,,
VanillaRNN,MSFT,31.476308046107725,7.316078041686072,0.5917533614203401,47.62979683972912,,
StackedGRU,GOOGL,32.68149024883237,20.96891629857411,-0.994162324417236,47.62979683972912,,
VanillaRNN,META,37.07114589074104,5.902342981510452,0.906035967041418,47.17832957110609,,
"ARIMA(5,1,0)",MSFT,37.471095752440256,8.645136827549976,0.421440765230329,48.30699774266365,,
StackedGRU,TSLA,41.72909130343723,12.023170275089951,0.4724987228224183,50.33860045146727,,
StackedGRU,MSFT,43.164055543126906,9.321450822131814,0.2322858786474652,50.79006772009029,,
SlimLSTM,AAPL,43.67516641277947,17.76865076455703,-2.21815124498239,51.0158013544018,,
StackedLSTM,AAPL,52.11418087160199,26.50157353414501,-3.5819373429768016,53.04740406320542,,
SlimLSTM,ORCL,58.96112932912674,40.57270168855903,-4.210131596232483,49.20993227990971,,
StackedLSTM,AVGO,61.38044658580458,42.71562029183525,-1.274742092988077,47.40406320541761,,
SlimLSTM,NVDA,63.063520310466615,52.82553805368976,-1.618415035005652,49.66139954853273,,
"ARIMA(5,1,0)",TSLA,64.6235795895415,20.153436573328825,-0.2651082310845505,48.081264108352144,,
SlimLSTM,AVGO,70.73427761368617,43.10545702005028,-2.0208692013439453,51.91873589164786,,
"ARIMA(5,1,0)",META,74.8457134420006,15.93955615746225,0.6169782003660016,47.85553047404064,,
StackedLSTM,TSLA,91.5536519202676,35.92409279116229,-1.539200557906625,46.72686230248307,,
SlimLSTM,MSFT,107.99447669275992,24.68204483785761,-3.805716335710449,51.46726862302483,,
SlimLSTM,META,121.65790416317344,19.739071118748203,-0.0119761759207184,49.20993227990971,,
StackedGRU,META,184.7632376347997,40.26444694841977,-1.334106968262701,49.66139954853273,,
StackedLSTM,META,216.8946490716845,44.872344383633134,-2.216527754200502,49.20993227990971,,
